043-0012 北海道 檜山郡江差町 鰔川町
043-0013 北海道 檜山郡江差町 朝日町
043-0014 北海道 檜山郡江差町 小黒部町
043-0015 北海道 檜山郡江差町 中網町
043-0016 北海道 檜山郡江差町 越前町
043-0017 北海道 檜山郡江差町 水堀町
043-0021 北海道 檜山郡江差町 柳崎町
043-0022 北海道 檜山郡江差町 伏木戸町
043-0023 北海道 檜山郡江差町 田沢町
043-0024 北海道 檜山郡江差町 尾山町
043-0025 北海道 檜山郡江差町 泊町
043-0026 北海道 檜山郡江差町 大澗町
043-0031 北海道 檜山郡江差町 愛宕町
043-0032 北海道 檜山郡江差町 新栄町
043-0033 北海道 檜山郡江差町 豊川町
043-0034 北海道 檜山郡江差町 中歌町
043-0035 北海道 檜山郡江差町 桧岱
043-0036 北海道 檜山郡江差町 東山
043-0041 北海道 檜山郡江差町 姥神町
043-0042 北海道 檜山郡江差町 上野町
043-0043 北海道 檜山郡江差町 本町
043-0044 北海道 檜山郡江差町 橋本町
043-0045 北海道 檜山郡江差町 鴎島
043-0046 北海道 檜山郡江差町 江差港北埠頭
043-0051 北海道 檜山郡江差町 津花町
043-0052 北海道 檜山郡江差町 茂尻町
043-0053 北海道 檜山郡江差町 新地町
043-0054 北海道 檜山郡江差町 緑丘
043-0055 北海道 檜山郡江差町 円山
043-0056 北海道 檜山郡江差町 陣屋町
043-0057 北海道 檜山郡江差町 海岸町
043-0061 北海道 檜山郡江差町 南が丘
043-0062 北海道 檜山郡江差町 萩の岱
043-0063 北海道 檜山郡江差町 南浜町
043-0064 北海道 檜山郡江差町 柏町
043-0065 北海道 檜山郡江差町 砂川
043-0066 北海道 檜山郡江差町 とど川町
043-0100 北海道 爾志郡乙部町 
043-0101 北海道 爾志郡乙部町 滝瀬
043-0102 北海道 爾志郡乙部町 元町
043-0103 北海道 爾志郡乙部町 緑町
043-0104 北海道 爾志郡乙部町 館浦
043-0111 北海道 爾志郡乙部町 鳥山
043-0112 北海道 爾志郡乙部町 栄野
043-0113 北海道 爾志郡乙部町 栄浜
043-0114 北海道 爾志郡乙部町 元和
043-0115 北海道 爾志郡乙部町 富岡
043-0116 北海道 爾志郡乙部町 旭岱
043-0117 北海道 爾志郡乙部町 姫川
043-0231 北海道 爾志郡乙部町 豊浜
043-0232 北海道 爾志郡乙部町 花磯
043-0233 北海道 爾志郡乙部町 潮見
043-0234 北海道 爾志郡乙部町 三ツ谷
043-0331 北海道 二海郡八雲町 熊石折戸町
043-0332 北海道 二海郡八雲町 熊石相沼町
043-0333 北海道 二海郡八雲町 熊石館平町
043-0334 北海道 二海郡八雲町 熊石泊川町
043-0335 北海道 二海郡八雲町 熊石黒岩町
043-0401 北海道 二海郡八雲町 熊石見日町
043-0402 北海道 二海郡八雲町 熊石鮎川町
043-0403 北海道 二海郡八雲町 熊石平町
043-0404 北海道 二海郡八雲町 熊石畳岩町
043-0405 北海道 二海郡八雲町 熊石大谷町
043-0415 北海道 二海郡八雲町 熊石根崎町
